epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.286,1.08262,0.55957,1,0.90216,0.000444578,0.000444578,0.000444578
2,20.6854,0.85654,0.62094,1,0.78386,0.000914833,0.000914833,0.000914833
3,26.9499,0.78016,0.6426,1,0.83883,0.0013788,0.0013788,0.0013788
4,33.3597,0.67955,0.68231,1,0.8809,0.00140071,0.00140071,0.00140071
5,39.9343,0.61523,0.67148,1,0.80852,0.00139127,0.00139127,0.00139127
6,46.3302,0.66516,0.75812,1,0.6049,0.00138184,0.00138184,0.00138184
7,52.5047,0.58078,0.68953,1,0.68197,0.00137241,0.00137241,0.00137241
8,58.9289,0.56283,0.77978,1,0.57473,0.00136298,0.00136298,0.00136298
9,65.1325,0.51269,0.75812,1,0.47934,0.00135355,0.00135355,0.00135355
10,71.525,0.45965,0.70758,1,0.69516,0.00134412,0.00134412,0.00134412
11,77.7179,0.46707,0.80144,1,0.72577,0.00133469,0.00133469,0.00133469
12,84.1227,0.41585,0.79061,1,0.58592,0.00132525,0.00132525,0.00132525
13,90.288,0.42471,0.73285,1,0.78701,0.00131582,0.00131582,0.00131582
14,96.7135,0.3799,0.78339,1,0.7094,0.00130639,0.00130639,0.00130639
15,102.966,0.35621,0.80144,1,0.66828,0.00129696,0.00129696,0.00129696
16,109.32,0.39746,0.74007,1,0.78799,0.00128753,0.00128753,0.00128753
17,115.818,0.39389,0.79783,1,0.8192,0.0012781,0.0012781,0.0012781
18,122.132,0.36785,0.76173,1,0.73925,0.00126867,0.00126867,0.00126867
19,128.255,0.33291,0.81588,1,0.68312,0.00125923,0.00125923,0.00125923
20,134.496,0.33359,0.8231,1,0.59796,0.0012498,0.0012498,0.0012498
21,140.902,0.2929,0.82671,1,0.81466,0.00124037,0.00124037,0.00124037
22,147.102,0.31963,0.81227,1,0.63028,0.00123094,0.00123094,0.00123094
23,153.503,0.31512,0.84838,1,0.48722,0.00122151,0.00122151,0.00122151
24,159.907,0.32926,0.79422,1,0.67615,0.00121208,0.00121208,0.00121208
25,165.902,0.28551,0.80144,1,0.71044,0.00120265,0.00120265,0.00120265
26,172.499,0.33404,0.84116,1,0.80051,0.00119322,0.00119322,0.00119322
27,178.901,0.28756,0.79422,1,0.68804,0.00118378,0.00118378,0.00118378
28,185.098,0.26329,0.79422,1,0.71353,0.00117435,0.00117435,0.00117435
29,191.295,0.26315,0.84477,1,0.49454,0.00116492,0.00116492,0.00116492
30,197.642,0.27342,0.83032,1,0.49839,0.00115549,0.00115549,0.00115549
31,203.883,0.24741,0.83755,1,0.85539,0.00114606,0.00114606,0.00114606
32,210.089,0.23542,0.84116,1,0.59118,0.00113663,0.00113663,0.00113663
33,216.286,0.26072,0.84477,1,0.7677,0.0011272,0.0011272,0.0011272
34,222.475,0.25909,0.84116,1,0.67008,0.00111776,0.00111776,0.00111776
35,228.489,0.24881,0.85921,1,0.59443,0.00110833,0.00110833,0.00110833
36,235.212,0.24047,0.81588,1,0.69647,0.0010989,0.0010989,0.0010989
37,241.443,0.20179,0.8231,1,0.62696,0.00108947,0.00108947,0.00108947
38,247.836,0.23423,0.82671,1,0.56361,0.00108004,0.00108004,0.00108004
39,254.071,0.24983,0.83755,1,0.926,0.00107061,0.00107061,0.00107061
40,260.474,0.2248,0.82671,1,0.65828,0.00106118,0.00106118,0.00106118
41,266.795,0.20006,0.83755,1,0.59948,0.00105174,0.00105174,0.00105174
42,273.231,0.19514,0.8231,1,0.66648,0.00104231,0.00104231,0.00104231
43,279.463,0.22666,0.84477,1,0.89585,0.00103288,0.00103288,0.00103288
44,285.699,0.20352,0.83394,1,0.64969,0.00102345,0.00102345,0.00102345
45,291.839,0.18084,0.83032,1,0.77912,0.00101402,0.00101402,0.00101402
46,297.864,0.17938,0.83032,1,0.8812,0.00100459,0.00100459,0.00100459
47,304.26,0.19161,0.85921,1,0.52093,0.000995156,0.000995156,0.000995156
48,310.851,0.16843,0.83755,1,0.42061,0.000985724,0.000985724,0.000985724
49,316.944,0.18386,0.87004,1,0.5223,0.000976293,0.000976293,0.000976293
50,322.853,0.18166,0.81588,1,0.58211,0.000966861,0.000966861,0.000966861
51,329.633,0.17374,0.84116,1,0.57974,0.00095743,0.00095743,0.00095743
52,336.078,0.20065,0.84477,1,0.54448,0.000947999,0.000947999,0.000947999
53,342.406,0.1926,0.84838,1,0.73573,0.000938567,0.000938567,0.000938567
54,349.012,0.2072,0.84838,1,0.67956,0.000929136,0.000929136,0.000929136
55,355.338,0.19792,0.86643,1,0.47922,0.000919704,0.000919704,0.000919704
56,361.612,0.19791,0.84838,1,0.55789,0.000910273,0.000910273,0.000910273
57,367.73,0.18765,0.85921,1,0.68596,0.000900842,0.000900842,0.000900842
58,374.033,0.18046,0.84838,1,0.46413,0.00089141,0.00089141,0.00089141
59,379.858,0.21051,0.83394,1,0.65729,0.000881979,0.000881979,0.000881979
60,386.298,0.16073,0.85199,1,0.68138,0.000872547,0.000872547,0.000872547
61,392.023,0.15867,0.87726,1,0.47023,0.000863116,0.000863116,0.000863116
62,398.59,0.19436,0.83755,1,0.93132,0.000853685,0.000853685,0.000853685
63,404.789,0.18676,0.86282,1,0.51272,0.000844253,0.000844253,0.000844253
64,411.154,0.14433,0.81588,1,0.54156,0.000834822,0.000834822,0.000834822
65,417.393,0.19159,0.87726,1,0.65219,0.00082539,0.00082539,0.00082539
66,423.969,0.18072,0.84838,1,0.56284,0.000815959,0.000815959,0.000815959
67,430.026,0.19378,0.84116,1,0.5128,0.000806528,0.000806528,0.000806528
68,436.387,0.16427,0.85199,1,0.62579,0.000797096,0.000797096,0.000797096
69,442.741,0.14405,0.86282,1,0.64222,0.000787665,0.000787665,0.000787665
70,448.982,0.15498,0.87726,1,0.49977,0.000778233,0.000778233,0.000778233
71,455.33,0.14487,0.85921,1,0.58219,0.000768802,0.000768802,0.000768802
72,461.927,0.16256,0.87004,1,0.59247,0.000759371,0.000759371,0.000759371
73,468.105,0.14054,0.88087,1,0.84636,0.000749939,0.000749939,0.000749939
74,474.585,0.13642,0.84116,1,0.62721,0.000740508,0.000740508,0.000740508
75,480.988,0.13657,0.87365,1,0.83197,0.000731076,0.000731076,0.000731076
76,487.22,0.13755,0.87004,1,0.69261,0.000721645,0.000721645,0.000721645
77,493.525,0.1308,0.85199,1,0.56225,0.000712214,0.000712214,0.000712214
78,499.898,0.11187,0.87004,1,0.54106,0.000702782,0.000702782,0.000702782
79,506.159,0.13011,0.86643,1,0.6016,0.000693351,0.000693351,0.000693351
80,512.399,0.12569,0.88087,1,0.64193,0.000683919,0.000683919,0.000683919
81,518.182,0.13902,0.87004,1,0.76811,0.000674488,0.000674488,0.000674488
82,524.26,0.14448,0.87004,1,0.60693,0.000665057,0.000665057,0.000665057
83,530.421,0.14691,0.85199,1,0.82869,0.000655625,0.000655625,0.000655625
84,536.336,0.12654,0.8556,1,0.55372,0.000646194,0.000646194,0.000646194
85,542.634,0.13143,0.86282,1,0.69054,0.000636762,0.000636762,0.000636762
86,549.087,0.10549,0.86282,1,0.6455,0.000627331,0.000627331,0.000627331
87,555.587,0.10841,0.85921,1,0.79037,0.0006179,0.0006179,0.0006179
88,561.779,0.11633,0.8556,1,0.68999,0.000608468,0.000608468,0.000608468
89,568.253,0.1098,0.84477,1,0.56531,0.000599037,0.000599037,0.000599037
90,574.708,0.11183,0.85921,1,0.55182,0.000589605,0.000589605,0.000589605
91,581.127,0.09712,0.84477,1,0.82672,0.000580174,0.000580174,0.000580174
92,587.281,0.0988,0.85921,1,0.82672,0.000570743,0.000570743,0.000570743
93,593.408,0.11257,0.86282,1,0.95388,0.000561311,0.000561311,0.000561311
94,599.49,0.10543,0.86282,1,0.69146,0.00055188,0.00055188,0.00055188
95,605.757,0.11811,0.87004,1,0.78178,0.000542448,0.000542448,0.000542448
96,611.928,0.10199,0.85199,1,0.75951,0.000533017,0.000533017,0.000533017
97,618.654,0.10806,0.8556,1,0.64492,0.000523586,0.000523586,0.000523586
98,624.935,0.1158,0.86643,1,0.60363,0.000514154,0.000514154,0.000514154
