epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.2687,1.1391,0.52055,1,1.02797,0.000381067,0.000381067,0.000381067
2,17.922,0.9786,0.60274,1,0.81373,0.000851741,0.000851741,0.000851741
3,22.199,0.74412,0.64384,1,0.82088,0.00131613,0.00131613,0.00131613
4,26.4675,0.57142,0.67123,1,0.79925,0.00140071,0.00140071,0.00140071
5,30.6158,0.51963,0.68493,1,0.72444,0.00139127,0.00139127,0.00139127
6,36.2674,0.46253,0.60274,1,0.87948,0.00138184,0.00138184,0.00138184
7,40.4329,0.3826,0.78082,1,0.732,0.00137241,0.00137241,0.00137241
8,44.6425,0.34146,0.75342,1,0.98867,0.00136298,0.00136298,0.00136298
9,48.7554,0.35676,0.69863,1,1.08742,0.00135355,0.00135355,0.00135355
10,52.8889,0.31238,0.73973,1,0.94945,0.00134412,0.00134412,0.00134412
11,57.7812,0.31698,0.87671,1,0.47141,0.00133469,0.00133469,0.00133469
12,62.8333,0.34396,0.82192,1,0.56088,0.00132525,0.00132525,0.00132525
13,67.2197,0.29969,0.87671,1,0.64873,0.00131582,0.00131582,0.00131582
14,71.4187,0.36803,0.75342,1,0.87172,0.00130639,0.00130639,0.00130639
15,75.6513,0.35597,0.72603,1,0.73507,0.00129696,0.00129696,0.00129696
16,79.7638,0.2862,0.82192,1,0.5538,0.00128753,0.00128753,0.00128753
17,83.9474,0.36581,0.82192,1,0.65379,0.0012781,0.0012781,0.0012781
